SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,genre_larger
"Honey, I'm Good.Andy Grammer",Andy Grammer,"Honey, I'm Good.","['australian pop', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",4MflGTO2ZTcSQ12bWcyRgI,https://p.scdn.co/mp3-preview/47241dccc756aa4213691cc4f0709523b9a42d8d?cid=b8d3901151d34489a160e3cf0ab1fa94,Magazines Or Novels,False,199263.0,71.0,0.752,0.775,9.0,-7.289,1.0,0.0546,0.0324,0.0,0.351,0.595,122.014,4.0,dance pop,pop
MonsterMeek Mill,Meek Mill,Monster,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",37EDnGj3yFe5Hs4Zk3s3YF,https://p.scdn.co/mp3-preview/382b8593601a755445619aabd68ebd535834b90d?cid=b8d3901151d34489a160e3cf0ab1fa94,Monster,True,170882.0,55.0,0.67,0.75,11.0,-4.954,1.0,0.205,0.0103,0.0,0.338,0.529,94.405,4.0,pop rap,rap
LandedBen Folds,Ben Folds,Landed,"['indie pop', 'permanent wave', 'piano rock']",4mrVwQQiv8AkXoJWehbWsK,https://p.scdn.co/mp3-preview/531d598a5f65a5ce9a9afc64fcd2d3c13049ae2c?cid=b8d3901151d34489a160e3cf0ab1fa94,Songs For Silverman,False,266773.0,45.0,0.413,0.684,10.0,-6.099,1.0,0.0291,0.0557,4.76e-05,0.244,0.306,83.199,4.0,permanent wave,permanent wave
Georgia RainTrisha Yearwood,Trisha Yearwood,Georgia Rain,"['contemporary country', 'country', 'country dawn', 'country road']",6qdKKHh8r7N8nRYih2g7Pm,,Jasper County,False,311360.0,42.0,0.528,0.456,10.0,-5.618,1.0,0.0241,0.61,4.62e-05,0.19,0.164,99.092,4.0,country,country
Ella Y YoAventura Featuring Don Omar,Aventura Featuring Don Omar,Ella Y Yo,"['bachata', 'latin', 'latin hip hop', 'latin pop', 'tropical']",6G4U9avyBNEfP0fAIduev3,https://p.scdn.co/mp3-preview/4bf225a6390b3fb6986f757844ebba17bbd5c801?cid=b8d3901151d34489a160e3cf0ab1fa94,God's Project,False,267786.0,76.0,0.732,0.708,9.0,-7.905,0.0,0.262,0.534,0.0,0.237,0.717,175.924,4.0,latin,latin
Gold LionYeah Yeah Yeahs,Yeah Yeah Yeahs,Gold Lion,"['alternative dance', 'alternative rock', 'art pop', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock']",6ttg1sxtU12beFZkjoc6j5,,Show Your Bones,False,187133.0,51.0,0.518,0.846,9.0,-3.313,1.0,0.07,0.0216,2.16e-05,0.0871,0.278,158.74,4.0,rock,rock
I Am Not My HairIndia.Arie,India.Arie,I Am Not My Hair,"['neo soul', 'r&b', 'urban contemporary']",7rha7gubXd3NJmBYGOAkeO,,Testimony: Vol. 1 Life & Relationship,False,229893.0,37.0,0.773,0.666,8.0,-7.572,1.0,0.195,0.0256,6.16e-06,0.105,0.403,98.251,4.0,r&b,r&b
High School Never EndsBowling For Soup,Bowling For Soup,High School Never Ends,"['comic', 'pop punk', 'post-grunge', 'texas pop punk']",1bhjMY5O0ZjB41OHcdRH0a,https://p.scdn.co/mp3-preview/95fc8530bddbea7cf656b11192aa55a2c581c271?cid=b8d3901151d34489a160e3cf0ab1fa94,The Great Burrito Extortion Case,True,209040.0,64.0,0.536,0.923,2.0,-3.494,1.0,0.125,0.0122,0.0,0.142,0.77,160.03,4.0,post-grunge,post-grunge
On The HotlinePretty Ricky,Pretty Ricky,On The Hotline,"['dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'miami hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",1zyqZONW985Cs4osz9wlsu,https://p.scdn.co/mp3-preview/63687b4be31b3e3e4c68eafd6b98d36bb6aec705?cid=b8d3901151d34489a160e3cf0ab1fa94,Late Night Special,False,242586.0,60.0,0.704,0.854,10.0,-5.477,0.0,0.183,0.0185,0.0,0.148,0.688,92.988,4.0,dance pop,pop
Empty WallsSerj Tankian,Serj Tankian,Empty Walls,"['alternative metal', 'nu metal', 'post-grunge']",16pmJwwNFVCqdXWPZtwZzh,https://p.scdn.co/mp3-preview/2eb672cf84568d0f997a36d9be55c2ba4e6370c0?cid=b8d3901151d34489a160e3cf0ab1fa94,Elect the Dead (Deluxe),True,230026.0,63.0,0.464,0.963,0.0,-3.568,0.0,0.0484,0.00161,0.0,0.196,0.528,160.071,4.0,post-grunge,post-grunge
