SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre,genre_larger
All I Want For Christmas Is YouMariah Carey,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/ab4f06069148ef8510d8681164479601d4617bed?cid=b8d3901151d34489a160e3cf0ab1fa94,Merry Christmas,False,241106.0,95.0,0.335,0.625,7.0,-7.462,1.0,0.0386,0.164,0.0,0.0708,0.346,150.277,4.0,dance pop,pop
Rockin' Around The Christmas TreeBrenda Lee,Brenda Lee,Rockin' Around The Christmas Tree,"['adult standards', 'brill building pop']",2EjXfH91m7f8HiJN1yQg97,,Merry Christmas From Brenda Lee,False,126266.0,90.0,0.589,0.472,8.0,-8.749,1.0,0.0502,0.614,0.0,0.505,0.898,67.196,4.0,adult standards,adult standards
The Christmas Song (Merry Christmas To You)Nat King Cole,Nat King Cole,The Christmas Song (Merry Christmas To You),['adult standards'],4PS1e8f2LvuTFgUs1Cn3ON,,The Christmas Song (Expanded Edition),False,192160.0,86.0,0.319,0.21,1.0,-15.231,1.0,0.0341,0.92,8.06e-05,0.138,0.209,78.696,4.0,adult standards,adult standards
ThrillerMichael Jackson,Michael Jackson,Thriller,"['pop', 'r&b', 'soul']",7azo4rpSUh8nXgtonC6Pkq,https://p.scdn.co/mp3-preview/9f288fba4d3380b1ae25e7f88a2054d7fac0bf2d?cid=b8d3901151d34489a160e3cf0ab1fa94,Scream,False,358053.0,69.0,0.764,0.887,11.0,-3.725,1.0,0.0738,0.0816,0.000108,0.847,0.721,118.421,4.0,pop,pop
ApplauseLady Gaga,Lady Gaga,Applause,"['dance pop', 'pop']",5ka2ajep9OAvU5Sgduhiex,,ARTPOP,False,212333.0,71.0,0.669,0.78,7.0,-4.287,0.0,0.053,0.0265,1.63e-06,0.143,0.738,139.945,4.0,dance pop,pop
Story Of My LifeOne Direction,One Direction,Story Of My Life,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",4nVBt6MZDDP6tRVdQTgxJg,https://p.scdn.co/mp3-preview/e8cbef539a2a32def5e66968cc00769a4f523c1c?cid=b8d3901151d34489a160e3cf0ab1fa94,Midnight Memories (Deluxe),False,245493.0,81.0,0.6,0.663,3.0,-5.802,1.0,0.0477,0.225,0.0,0.119,0.286,121.07,4.0,dance pop,pop
"Bang BangJessie J, Ariana Grande & Nicki Minaj","Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,"['australian pop', 'dance pop', 'pop', 'pop rap', 'post-teen pop', 'uk pop', 'viral pop']",0puf9yIluy9W0vpMEUoAnN,,Sweet Talker (Deluxe Version),False,199386.0,79.0,0.706,0.786,0.0,-3.417,0.0,0.0909,0.26,0.0,0.38,0.749,150.035,4.0,dance pop,pop
"Sorry, Blame It On MeAkon",Akon,"Sorry, Blame It On Me","['dance pop', 'pop', 'pop rap']",11FLXIjJOGzx7H0n1bu5wz,,Konvicted,False,295720.0,59.0,0.713,0.643,7.0,-7.381,1.0,0.292,0.276,3.32e-05,0.0786,0.508,176.079,4.0,dance pop,pop
Blah Blah BlahKe$ha Featuring 3OH!3,Ke$ha Featuring 3OH!3,Blah Blah Blah,[],,,,,,,,,,,,,,,,,,,,
Strange CloudsB.o.B Featuring Lil Wayne,B.o.B Featuring Lil Wayne,Strange Clouds,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",0yQw3d0iQDjMrxaVHFv77J,https://p.scdn.co/mp3-preview/29376cadada3de68007a276b185fb3f9fadc9918?cid=b8d3901151d34489a160e3cf0ab1fa94,Strange Clouds,True,226293.0,61.0,0.531,0.665,8.0,-6.672,0.0,0.286,0.0607,0.0,0.131,0.8,73.726,4.0,dance pop,pop
Begin AgainTaylor Swift,Taylor Swift,Begin Again,"['pop', 'post-teen pop']",0L4YCNRfXAoTvdpWeH2RGj,,Red,False,237613.0,57.0,0.467,0.532,7.0,-8.277,1.0,0.0271,0.199,3.33e-06,0.24,0.321,78.748,4.0,pop,pop
Rap GodEminem,Eminem,Rap God,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",6or1bKJiZ06IlK0vFvY75k,,The Marshall Mathers LP2 (Deluxe),True,363521.0,79.0,0.708,0.843,7.0,-2.66,1.0,0.314,0.397,0.0,0.799,0.625,148.14,4.0,rap,rap
Speed Of SoundColdplay,Coldplay,Speed Of Sound,"['permanent wave', 'pop']",7clUVcSOtkNWa58Gw5RfD4,https://p.scdn.co/mp3-preview/739f1ff67c5b9a416d7a1136c2e15b53a67bdce9?cid=b8d3901151d34489a160e3cf0ab1fa94,X&Y,False,287906.0,70.0,0.523,0.898,11.0,-6.765,0.0,0.0567,0.00491,0.0345,0.0746,0.355,123.085,4.0,pop,pop
Can't Be TamedMiley Cyrus,Miley Cyrus,Can't Be Tamed,"['dance pop', 'pop', 'post-teen pop']",2r6DdaSbkbwoPzuK6NjLPn,,Can't Be Tamed,False,168213.0,62.0,0.637,0.919,7.0,-2.842,1.0,0.143,0.0359,0.0,0.22,0.793,116.987,4.0,dance pop,pop
Speak NowTaylor Swift,Taylor Swift,Speak Now,"['pop', 'post-teen pop']",1nYWTzy5zu3zEPNgB1sItW,,Speak Now (Deluxe Edition),False,240760.0,53.0,0.709,0.599,7.0,-3.734,1.0,0.0304,0.095,0.0,0.0973,0.735,118.975,4.0,pop,pop
Teenage DreamGlee Cast,Glee Cast,Teenage Dream,"['glee club', 'hollywood', 'post-teen pop']",2bIswilW8apEYGJcMSHPKA,https://p.scdn.co/mp3-preview/dfb21ade3c021407519e09c3f3c25142f907cf66?cid=b8d3901151d34489a160e3cf0ab1fa94,Teenage Dream (Glee Cast Version,False,225346.0,55.0,0.493,0.362,2.0,-9.56,1.0,0.0384,0.74,0.0,0.0966,0.65,129.739,4.0,post-teen pop,pop
SkyfallAdele,Adele,Skyfall,"['british soul', 'pop', 'uk pop']",6VObnIkLVruX4UVyxWhlqm,https://p.scdn.co/mp3-preview/68c26fb120ac16730ad0ac1c46e5bb9d9d60c70e?cid=b8d3901151d34489a160e3cf0ab1fa94,Skyfall (Full Length),False,286480.0,74.0,0.346,0.552,0.0,-6.864,0.0,0.0282,0.417,0.0,0.114,0.0789,75.881,4.0,pop,pop
SugarMaroon 5,Maroon 5,Sugar,"['pop', 'pop rock']",2iuZJX9X9P0GKaE93xcPjk,,V,True,235493.0,81.0,0.748,0.788,1.0,-7.055,1.0,0.0334,0.0591,0.0,0.0863,0.884,120.076,4.0,pop,pop
So WhatP!nk,P!nk,So What,"['dance pop', 'pop', 'post-teen pop']",0JiY190vktuhSGN6aqJdrt,https://p.scdn.co/mp3-preview/4fce142e082b70ea661ab7c3aa4610a1696bbff6?cid=b8d3901151d34489a160e3cf0ab1fa94,Funhouse (Expanded Edition),True,215160.0,69.0,0.534,0.87,11.0,-3.078,0.0,0.0425,0.000329,0.0,0.241,0.462,126.019,4.0,dance pop,pop
Bad RomanceLady Gaga,Lady Gaga,Bad Romance,"['dance pop', 'pop']",0SiywuOBRcynK0uKGWdCnn,,The Fame Monster (Deluxe Edition),True,294573.0,80.0,0.696,0.921,0.0,-3.755,1.0,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,4.0,dance pop,pop
6 Foot 7 FootLil Wayne Featuring Cory Gunz,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0z5ZPs57J2KERwM1tBM2GF,,Tha Carter IV (Deluxe),True,248586.0,71.0,0.365,0.751,2.0,-5.429,1.0,0.304,0.000707,0.0,0.318,0.604,79.119,4.0,pop rap,rap
Take CareDrake Featuring Rihanna,Drake Featuring Rihanna,Take Care,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",124NFj84ppZ5pAxTuVQYCQ,,Take Care (Deluxe),True,277386.0,72.0,0.629,0.515,0.0,-10.358,0.0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845,4.0,pop rap,rap
StarshipsNicki Minaj,Nicki Minaj,Starships,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop', 'rap']",1oHNvJVbFkexQc0BpQp7Y4,,Pink Friday ... Roman Reloaded,True,210626.0,69.0,0.747,0.716,11.0,-2.457,0.0,0.075,0.135,0.0,0.251,0.751,125.008,4.0,dance pop,pop
ChangeTaylor Swift,Taylor Swift,Change,"['pop', 'post-teen pop']",1yACRKAwlXWhXXFUSkvzhD,,Fearless,False,280240.0,48.0,0.541,0.77,5.0,-4.17,1.0,0.0354,0.00408,0.0,0.117,0.215,96.013,4.0,pop,pop
SkyscraperDemi Lovato,Demi Lovato,Skyscraper,"['dance pop', 'pop', 'post-teen pop']",4B3RmT3cGvh8By3WY9pbIx,,Unbroken,False,221293.0,68.0,0.484,0.604,7.0,-3.314,1.0,0.0328,0.149,0.0,0.131,0.181,103.316,4.0,dance pop,pop
PerfectOne Direction,One Direction,Perfect,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",3NLnwwAQbbFKcEcV8hDItk,https://p.scdn.co/mp3-preview/c6272bcc7ec076e8ef127a4ae95aca99aa3728ed?cid=b8d3901151d34489a160e3cf0ab1fa94,Made In The A.M. (Deluxe Edition),False,230333.0,75.0,0.647,0.823,2.0,-5.231,1.0,0.0762,0.0598,0.0,0.119,0.396,99.933,4.0,dance pop,pop
A Little Bit LongerJonas Brothers,Jonas Brothers,A Little Bit Longer,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",1C9CSFviMwp3kyZHmV09ed,,A Little Bit Longer,False,205013.0,53.0,0.304,0.612,0.0,-4.978,1.0,0.0337,0.0308,0.0,0.19,0.279,156.286,4.0,dance pop,pop
Rumour Has It / Someone Like YouGlee Cast,Glee Cast,Rumour Has It / Someone Like You,"['glee club', 'hollywood', 'post-teen pop']",5iYUt3rsgrGFU0nugdhYwj,https://p.scdn.co/mp3-preview/8e481c208ed354b8c68759a830ba21fd68ddda0b?cid=b8d3901151d34489a160e3cf0ab1fa94,Glee: The Musi,False,207946.0,56.0,0.64,0.896,6.0,-3.221,0.0,0.0789,0.275,0.0,0.147,0.751,123.071,4.0,post-teen pop,pop
So GoodB.o.B,B.o.B,So Good,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",28GUjBGqZVcAV4PHSYzkj2,https://p.scdn.co/mp3-preview/2f13af9d55e750ea773daa76654ed735a2022fbb?cid=b8d3901151d34489a160e3cf0ab1fa94,Strange Clouds,False,213253.0,64.0,0.66,0.9,7.0,-5.02,1.0,0.14,0.0403,0.0,0.219,0.591,85.51,4.0,dance pop,pop
DianaOne Direction,One Direction,Diana,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",6twW4ma6w0mOeejejPK0nY,https://p.scdn.co/mp3-preview/a58009660be52f00f985bab0bfa3506f6322315b?cid=b8d3901151d34489a160e3cf0ab1fa94,Midnight Memories (Deluxe),False,184666.0,64.0,0.549,0.868,2.0,-4.319,1.0,0.0614,0.0604,0.0,0.137,0.755,171.96,4.0,dance pop,pop
DirtFlorida Georgia Line,Florida Georgia Line,Dirt,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",5CXnIPD6rTjszYYQm6fY2P,,Anything Goes,False,230586.0,63.0,0.554,0.875,2.0,-4.185,1.0,0.0487,0.0661,1.59e-05,0.118,0.543,121.976,4.0,country,country
Somewhere Over The RainbowKatharine McPhee,Katharine McPhee,Somewhere Over The Rainbow,"['idol', 'post-teen pop']",2UORsaluUZXiMvkkkedDTJ,https://p.scdn.co/mp3-preview/8176c6e21a7db2a2c203eed4eebf2ae9b7789490?cid=b8d3901151d34489a160e3cf0ab1fa94,Somewhere Over The Rainbow / My Destiny,False,210333.0,41.0,0.43,0.203,8.0,-10.425,1.0,0.0369,0.863,4.71e-06,0.106,0.105,119.884,4.0,post-teen pop,pop
Ring The AlarmBeyonce,Beyonce,Ring The Alarm,"['dance pop', 'pop', 'pop rap', 'r&b']",5BkHkyO9PFXs1m7vSMnXp4,https://p.scdn.co/mp3-preview/3ceb698b60d7a0e13fc952b67dc4331918f001ae?cid=b8d3901151d34489a160e3cf0ab1fa94,B'Day Deluxe Edition,False,203346.0,53.0,0.458,0.751,2.0,-8.395,1.0,0.469,0.0299,0.000155,0.258,0.48,169.673,4.0,dance pop,pop
AirplanesB.o.B Featuring Hayley Williams,B.o.B Featuring Hayley Williams,Airplanes,"['atl hip hop', 'dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop']",6lV2MSQmRIkycDScNtrBXO,https://p.scdn.co/mp3-preview/8c83787fff0b72fd657d43c15e98bc24860ea061?cid=b8d3901151d34489a160e3cf0ab1fa94,B.o.B Presents: The Adventures of Bobby Ray,True,180480.0,76.0,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0,0.0368,0.377,93.033,4.0,dance pop,pop
RunawayKanye West Featuring Pusha T,Kanye West Featuring Pusha T,Runaway,"['chicago rap', 'rap']",3DK6m7It6Pw857FcQftMds,,My Beautiful Dark Twisted Fantasy,True,547733.0,75.0,0.571,0.568,1.0,-3.827,0.0,0.0703,0.218,0.0021,0.512,0.109,86.986,4.0,rap,rap
Take A Little RideJason Aldean,Jason Aldean,Take A Little Ride,"['contemporary country', 'country', 'country road']",2o5mwv7hvas1jdUg14Nihv,https://p.scdn.co/mp3-preview/1b9302f9d4b055c659820117df749c6ae48a7e24?cid=b8d3901151d34489a160e3cf0ab1fa94,Night Train,False,187613.0,58.0,0.472,0.866,2.0,-3.771,1.0,0.0413,0.044,0.0,0.213,0.775,163.867,4.0,country,country
Scream & Shoutwill.i.am & Britney Spears,will.i.am & Britney Spears,Scream & Shout,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",2iJuuzV8P9Yz0VSurttIV5,,#willpower,True,283400.0,74.0,0.772,0.685,5.0,-6.849,1.0,0.0696,0.019,8.96e-05,0.131,0.501,130.033,4.0,dance pop,pop
Burnin' It DownJason Aldean,Jason Aldean,Burnin' It Down,"['contemporary country', 'country', 'country road']",5HJqpDspKDKwQpLjvkcIsD,https://p.scdn.co/mp3-preview/38e8e72fccdd6c0bafda0d9367ac1c562bffed63?cid=b8d3901151d34489a160e3cf0ab1fa94,Old Boot,False,219160.0,64.0,0.681,0.795,6.0,-6.652,1.0,0.049,0.305,9.41e-06,0.109,0.64,135.939,4.0,country,country
OursTaylor Swift,Taylor Swift,Ours,"['pop', 'post-teen pop']",1EQn3Uc5AyUXoiPLeyCrrg,,Speak Now (Deluxe Edition),False,237920.0,56.0,0.608,0.569,0.0,-7.227,1.0,0.0284,0.537,0.0,0.097,0.238,159.845,4.0,pop,pop
Die YoungKe$ha,Ke$ha,Die Young,[],,,,,,,,,,,,,,,,,,,,
State Of GraceTaylor Swift,Taylor Swift,State Of Grace,"['pop', 'post-teen pop']",5zyCYmiaVE5y26EZuwZbsw,,Red (Deluxe Edition),False,295186.0,55.0,0.584,0.834,4.0,-5.872,1.0,0.0321,0.000166,0.00121,0.0906,0.42,129.958,4.0,pop,pop
Do What U WantLady Gaga Featuring R. Kelly,Lady Gaga Featuring R. Kelly,Do What U Want,"['dance pop', 'pop']",5XKXMWPACPq51OiqzxenZo,,Do What U Want,True,216573.0,55.0,0.777,0.794,9.0,-4.665,1.0,0.0942,0.369,1.88e-06,0.0889,0.529,97.505,4.0,dance pop,pop
Steal My GirlOne Direction,One Direction,Steal My Girl,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",2Bs4jQEGMycglOfWPBqrVG,https://p.scdn.co/mp3-preview/2be03a39526b79e665a488afb5f87257a7977dce?cid=b8d3901151d34489a160e3cf0ab1fa94,FOUR (Deluxe),False,228133.0,74.0,0.536,0.768,10.0,-5.948,0.0,0.0347,0.00433,0.0,0.114,0.545,77.217,4.0,dance pop,pop
All For YouJanet,Janet,All For You,"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",28IZUzBnFsBxyrgdsdlQPg,,Best Of Number Ones,False,272386.0,57.0,0.774,0.881,2.0,-4.681,1.0,0.0917,0.0107,0.0431,0.289,0.775,113.511,3.0,dance pop,pop
Push It To The LimitCorbin Bleu,Corbin Bleu,Push It To The Limit,['post-teen pop'],3K01q0jtSNHeqx5gs97HH2,,Another Side,False,196960.0,52.0,0.814,0.9,5.0,-3.318,0.0,0.0605,0.0112,2.01e-06,0.0631,0.761,125.988,4.0,post-teen pop,pop
SingEd Sheeran,Ed Sheeran,Sing,"['pop', 'uk pop']",6K8qKeWo5MsFED7wCR6Kop,https://p.scdn.co/mp3-preview/9753d5100c5d00d13dbe9dff60be813f4ec7aed4?cid=b8d3901151d34489a160e3cf0ab1fa94,x (Deluxe Edition),False,235382.0,71.0,0.818,0.67,8.0,-4.451,0.0,0.0472,0.304,1.22e-06,0.0601,0.939,119.988,4.0,pop,pop
Break FreeAriana Grande Featuring Zedd,Ariana Grande Featuring Zedd,Break Free,"['dance pop', 'pop', 'post-teen pop']",1LD1TFK08cFUBPmhi3FRAA,,k bye for now (swt live),False,151583.0,55.0,0.687,0.702,7.0,-5.324,0.0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,4.0,dance pop,pop
"All DayKanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney","Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,"['chicago rap', 'rap']",79reBHqpRoWXaQbjBBY3UC,,All Day,True,310906.0,63.0,0.855,0.638,9.0,-4.968,0.0,0.143,0.0648,0.0,0.162,0.412,122.967,4.0,rap,rap
Pushin' Me AwayJonas Brothers,Jonas Brothers,Pushin' Me Away,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",6IxbD3Vdv7AIYC11ABftOW,,A Little Bit Longer,False,183120.0,48.0,0.469,0.894,7.0,-6.072,1.0,0.0693,0.0179,0.0,0.2,0.452,161.959,4.0,dance pop,pop
ParadiseColdplay,Coldplay,Paradise,"['permanent wave', 'pop']",6nek1Nin9q48AVZcWs9e9D,https://p.scdn.co/mp3-preview/99475c9d11e4df26ca9d1460fbe0654e687d79e0?cid=b8d3901151d34489a160e3cf0ab1fa94,Mylo Xyloto,False,278719.0,79.0,0.449,0.585,5.0,-6.762,1.0,0.0268,0.0522,8.49e-05,0.0833,0.203,139.627,4.0,pop,pop
RonanTaylor Swift,Taylor Swift,Ronan,"['pop', 'post-teen pop']",0Nw8hv79MLJa1yjtsEgz08,,Ronan,False,265306.0,47.0,0.565,0.255,0.0,-10.152,1.0,0.0314,0.646,0.0,0.127,0.174,57.964,4.0,pop,pop
DiamondsRihanna,Rihanna,Diamonds,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",1z9kQ14XBSN0r2v6fx4IdG,,Unapologetic (Edited Version),False,225146.0,67.0,0.564,0.71,11.0,-4.92,0.0,0.0461,0.00125,0.0,0.109,0.393,91.972,4.0,dance pop,pop
That's My Kind Of NightLuke Bryan,Luke Bryan,That's My Kind Of Night,"['contemporary country', 'country', 'country road']",5HGibWoxnkYSkl6mHmAlOE,,Crash My Party,False,190186.0,70.0,0.66,0.754,4.0,-2.84,0.0,0.051,0.0626,0.0,0.1,0.899,110.02,4.0,country,country
Say SomethingA Great Big World & Christina Aguilera,A Great Big World & Christina Aguilera,Say Something,"['neo mellow', 'piano rock', 'pop rock']",6Vc5wAMmXdKIAM7WUoEb7N,https://p.scdn.co/mp3-preview/fe73e55ae08bf3395db3e1ba4485533f59faf3ea?cid=b8d3901151d34489a160e3cf0ab1fa94,Is There Anybody Out There?,False,229400.0,80.0,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3.0,pop rock,rock
Amnesia5 Seconds Of Summer,5 Seconds Of Summer,Amnesia,"['boy band', 'dance pop', 'pop', 'post-teen pop']",1JCCdiru7fhstOIF4N7WJC,,5 Seconds Of Summer,False,237247.0,70.0,0.572,0.499,2.0,-5.237,1.0,0.0311,0.0283,0.0,0.213,0.108,101.593,4.0,dance pop,pop
Overnight CelebrityTwista,Twista,Overnight Celebrity,"['chicago rap', 'dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'trap']",2tOZtdbkAMQASWokLvSlzj,https://p.scdn.co/mp3-preview/3945fdec557693fcec6418754fe92c45e5a9cce2?cid=b8d3901151d34489a160e3cf0ab1fa94,Kamikaze,True,233360.0,66.0,0.828,0.792,10.0,-5.435,0.0,0.179,0.182,0.0,0.281,0.777,134.199,4.0,dance pop,pop
Shape Of My HeartBackstreet Boys,Backstreet Boys,Shape Of My Heart,"['boy band', 'dance pop', 'pop']",35o9a4iAfLl5jRmqMX9c1D,https://p.scdn.co/mp3-preview/511a3075ab4e6adcc1f85b938afa9a06a24ea7cf?cid=b8d3901151d34489a160e3cf0ab1fa94,Black & Blue,False,230093.0,76.0,0.575,0.786,9.0,-4.353,1.0,0.0296,0.252,0.0,0.159,0.518,96.102,4.0,dance pop,pop
Rock Wit U (Awww Baby)Ashanti,Ashanti,Rock Wit U (Awww Baby),"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",6pWzCKTrKrwbUPzY8RLCoP,,Chapter II,False,209120.0,65.0,0.712,0.805,4.0,-3.142,0.0,0.0739,0.433,0.0,0.179,0.851,94.973,4.0,dance pop,pop
Come On Over Baby (All I Want Is You)Christina Aguilera,Christina Aguilera,Come On Over Baby (All I Want Is You),"['dance pop', 'pop', 'post-teen pop', 'r&b']",7A0apkTSTvMbSI7yplcmlh,https://p.scdn.co/mp3-preview/3e157a2bc80b66474fe111ded3a7dec6a68a0160?cid=b8d3901151d34489a160e3cf0ab1fa94,Christina Aguilera (Expanded Edition),False,203333.0,64.0,0.829,0.915,8.0,-3.205,1.0,0.106,0.226,1.25e-05,0.246,0.779,118.903,4.0,dance pop,pop
AddictiveTruth Hurts Featuring Rakim,Truth Hurts Featuring Rakim,Addictive,"['hip pop', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,,,,,r&b,r&b
All Falls DownKanye West Featuring Syleena Johnson,Kanye West Featuring Syleena Johnson,All Falls Down,"['chicago rap', 'rap']",5SkRLpaGtvYPhw02vZhQQ9,,The College Dropout,True,223506.0,73.0,0.657,0.734,8.0,-4.832,0.0,0.484,0.149,0.0,0.139,0.434,91.03,4.0,rap,rap
Oops!...I Did It AgainBritney Spears,Britney Spears,Oops!...I Did It Again,"['dance pop', 'pop', 'post-teen pop']",,,,,,,,,,,,,,,,,,,dance pop,pop
AngelShaggy Featuring Rayvon,Shaggy Featuring Rayvon,Angel,"['dance pop', 'reggae fusion']",7FDV5ELOJHCGLe52AnttEd,,Hot Shot,False,235133.0,73.0,0.74,0.766,6.0,-2.939,1.0,0.178,0.116,0.0,0.0406,0.807,170.531,4.0,dance pop,pop
She Will Be LovedMaroon 5,Maroon 5,She Will Be Loved,"['pop', 'pop rock']",4llK75pXNWZz6KAho2Gp16,,Songs About Jane: 10th Anniversary Edition,False,259453.0,81.0,0.641,0.667,0.0,-5.505,0.0,0.0254,0.249,0.0,0.0987,0.51,102.002,4.0,pop,pop
Because Of YouKelly Clarkson,Kelly Clarkson,Because Of You,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']",3f3omU8n47Mqyab5nCaGyT,https://p.scdn.co/mp3-preview/1d24ddb30ca6e91eefcd6a965507e5492181378a?cid=b8d3901151d34489a160e3cf0ab1fa94,Breakaway,False,219493.0,73.0,0.583,0.584,5.0,-5.362,0.0,0.0314,0.254,0.0,0.123,0.136,140.039,4.0,dance pop,pop
Come To MeDiddy Featuring Nicole Scherzinger,Diddy Featuring Nicole Scherzinger,Come To Me,"['dance pop', 'east coast hip hop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap']",6yuvC80FcnVJNvC0DbXN9e,https://p.scdn.co/mp3-preview/06213a1673abc439ab3bb3c331b4e1727bd0aecd?cid=b8d3901151d34489a160e3cf0ab1fa94,Press Play,True,276786.0,51.0,0.819,0.485,6.0,-6.45,0.0,0.0756,0.0176,0.0,0.658,0.386,96.998,4.0,dance pop,pop
Say It RightNelly Furtado,Nelly Furtado,Say It Right,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap', 'pop rock']",5AtFypwxB2ShXSxNj12dEd,,Loose,False,223080.0,57.0,0.871,0.873,1.0,-6.234,1.0,0.13,0.0488,0.000747,0.0532,0.813,116.945,4.0,dance pop,pop
A Bay BayHurricane Chris,Hurricane Chris,A Bay Bay,"['deep southern trap', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",6MnFB3qurhmGs1xdjrz5Bg,https://p.scdn.co/mp3-preview/8daebc827f16450eab134348fd38695ab7fb6108?cid=b8d3901151d34489a160e3cf0ab1fa94,A Bay Bay,False,257120.0,54.0,0.577,0.668,6.0,-4.884,1.0,0.514,0.105,0.0,0.0924,0.702,60.709,3.0,pop rap,rap
BartenderT-Pain Featuring Akon,T-Pain Featuring Akon,Bartender,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary']",5kxddRG1RZaZROadk7iC4D,https://p.scdn.co/mp3-preview/b6e92ab695296bb9e7ca29382cbea4ae24b27bbc?cid=b8d3901151d34489a160e3cf0ab1fa94,Epiphany,True,238800.0,71.0,0.675,0.394,8.0,-8.539,1.0,0.133,0.0611,0.0,0.214,0.405,104.987,4.0,dance pop,pop
Summertime SadnessLana Del Rey & Cedric Gervais,Lana Del Rey & Cedric Gervais,Summertime Sadness,"['art pop', 'pop']",2dBwB667LHQkLhdYlwLUZK,,Born To Die - The Paradise Edition,False,265427.0,64.0,0.565,0.654,1.0,-6.826,0.0,0.0335,0.0542,1.8e-06,0.122,0.235,111.968,4.0,pop,pop
24/7Kevon Edmonds,Kevon Edmonds,24/7,"['new jack swing', 'r&b', 'urban contemporary']",,,,,,,,,,,,,,,,,,,r&b,r&b
Sk8er BoiAvril Lavigne,Avril Lavigne,Sk8er Boi,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']",00Mb3DuaIH1kjrwOku9CGU,https://p.scdn.co/mp3-preview/c0984bf089f7e7534d6c838fd4204cc40ed87368?cid=b8d3901151d34489a160e3cf0ab1fa94,Let Go,False,204000.0,76.0,0.487,0.9,0.0,-4.417,1.0,0.0482,6.79e-05,0.0,0.358,0.484,149.937,4.0,dance pop,pop
Can't Get You Out Of My HeadKylie Minogue,Kylie Minogue,Can't Get You Out Of My Head,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']",3E7ZwUMJFqpsDOJzEkBrQ7,https://p.scdn.co/mp3-preview/8698fb43a16503ad290e738649a19d1663b9cbc6?cid=b8d3901151d34489a160e3cf0ab1fa94,Fever,False,230640.0,72.0,0.766,0.563,9.0,-7.516,0.0,0.0339,0.0263,0.683,0.115,0.964,126.007,4.0,dance pop,pop
